timestamp,temp,batt_mV,soundDroop_mV,boltDroop_mV,faults,batteryLevel,Time Elapsed (hours),soundDroopMag_mV,boltDroopMag_mV,meanLevel,nnLevel,fault_brownout,fault_bolt,fault_sound,fault_sound_brownout,fault_bolt_brownout
946687293,8,3147,3033,2954,0,51,0.0,114,193,3,3,False,False,False,False,False
946689096,1,2930,2689,2566,0,51,0.5008333333333334,241,364,3,3,False,False,False,False,False
946690900,0,2879,2634,2419,0,51,1.0019444444444445,245,460,3,3,False,False,False,False,False
946692703,0,2871,2603,2439,0,51,1.5027777777777778,268,432,3,3,False,False,False,False,False
946694507,0,2869,2602,2372,0,51,2.003888888888889,267,497,3,3,False,False,False,False,False
946696311,0,2870,2609,2430,0,51,2.505,261,440,3,3,False,False,False,False,False
946698114,0,2868,2609,2365,0,51,3.0058333333333334,259,503,3,3,False,False,False,False,False
946699918,0,2858,2610,2441,0,51,3.5069444444444446,248,417,3,3,False,False,False,False,False
946701722,0,2863,2607,2357,0,51,4.008055555555556,256,506,3,3,False,False,False,False,False
946703525,0,2862,2603,2434,0,51,4.5088888888888885,259,428,3,3,False,False,False,False,False
946705329,0,2860,2607,2364,0,51,5.01,253,496,3,3,False,False,False,False,False
946707133,0,2854,2608,2436,0,51,5.511111111111111,246,418,3,3,False,False,False,False,False
946708936,0,2849,2601,2375,0,51,6.0119444444444445,248,474,3,3,False,False,False,False,False
946710740,0,2857,2603,2440,0,51,6.513055555555556,254,417,3,3,False,False,False,False,False
946712544,0,2853,2601,2362,0,51,7.014166666666667,252,491,3,3,False,False,False,False,False
946714347,0,2851,2602,2437,0,51,7.515,249,414,3,3,False,False,False,False,False
946716151,0,2852,2601,2370,0,51,8.016111111111112,251,482,3,3,False,False,False,False,False
946717955,0,2850,2605,2435,0,51,8.517222222222221,245,415,3,3,False,False,False,False,False
946719758,0,2848,2602,2361,0,51,9.018055555555556,246,487,3,3,False,False,False,False,False
946721562,0,2852,2602,2435,0,51,9.519166666666667,250,417,3,3,False,False,False,False,False
946723366,0,2848,2602,2366,0,51,10.020277777777778,246,482,3,3,False,False,False,False,False
946725169,0,2846,2603,2438,0,51,10.52111111111111,243,408,3,3,False,False,False,False,False
946726973,0,2853,2604,2371,0,51,11.022222222222222,249,482,3,3,False,False,False,False,False
946728777,0,2852,2606,2440,0,51,11.523333333333333,246,412,3,3,False,False,False,False,False
946730580,0,2841,2601,2360,0,51,12.024166666666666,240,481,3,3,False,False,False,False,False
946732384,0,2849,2605,2434,0,51,12.525277777777777,244,415,3,3,False,False,False,False,False
946734187,0,2852,2607,2372,0,51,13.026111111111112,245,480,3,3,False,False,False,False,False
946735991,0,2847,2611,2434,0,51,13.527222222222223,236,413,3,3,False,False,False,False,False
946737795,0,2849,2607,2370,0,51,14.028333333333334,242,479,3,3,False,False,False,False,False
946739598,0,2845,2608,2441,0,51,14.529166666666667,237,404,3,3,False,False,False,False,False
946741402,0,2850,2606,2372,0,51,15.030277777777778,244,478,3,3,False,False,False,False,False
946743206,0,2850,2603,2442,0,51,15.53138888888889,247,408,3,3,False,False,False,False,False
946745009,0,2849,2600,2382,0,51,16.032222222222224,249,467,3,3,False,False,False,False,False
946746813,0,2843,2603,2434,0,51,16.533333333333335,240,409,3,3,False,False,False,False,False
946748616,0,2849,2596,2369,0,51,17.034166666666668,253,480,3,3,False,False,False,False,False
946750420,0,2835,2604,2434,0,51,17.53527777777778,231,401,3,3,False,False,False,False,False
946752224,0,2849,2600,2376,0,51,18.03638888888889,249,473,3,3,False,False,False,False,False
946754027,0,2838,2600,2433,0,51,18.537222222222223,238,405,3,3,False,False,False,False,False
946755831,0,2838,2595,2367,0,51,19.038333333333334,243,471,3,3,False,False,False,False,False
946757635,0,2840,2600,2430,0,51,19.539444444444445,240,410,3,3,False,False,False,False,False
946759438,0,2843,2594,2360,0,51,20.040277777777778,249,483,3,3,False,False,False,False,False
946761242,0,2835,2594,2423,0,51,20.54138888888889,241,412,3,3,False,False,False,False,False
946763046,0,2841,2588,2367,0,51,21.0425,253,474,3,3,False,False,False,False,False
946764849,0,2834,2593,2422,0,51,21.543333333333333,241,412,3,3,False,False,False,False,False
